key,value
message_speed_window,0.03
message_speed_all,0.1
story001_max_index,30
story001_target_max,30
story002_max_index,30
story002_target_max,30
story003_max_index,30
story003_target_max,30
story004_max_index,30
story004_target_max,30
story005_max_index,30
story005_target_max,30
story006_max_index,30
story006_target_max,30
story007_max_index,30
story007_target_max,30
story008_max_index,30
story008_target_max,30
story009_max_index,30
story009_target_max,30
story010_max_index,30
story010_target_max,30
story011_max_index,30
story011_target_max,30
story012_max_index,30
story012_target_max,30
story013_max_index,30
story013_target_max,30
story114_max_index,30
story114_target_max,30
story115_max_index,30
story115_target_max,30
story214_max_index,30
story214_target_max,30
story215_max_index,30
story215_target_max,30
